Day,Solar_Radiation,Direct_Sunlight_Hours,Wind_Speed,Rainfall_mm,Energy_Type
1,200.01650796297383,6.833580764771292,21.60803771842187,130.8612643068112,Solar
2,248.72662768311872,5.332391047248352,20.61849013239383,16.00651395318733,Solar
3,246.398788362281,8.081287438321272,2.8726259599007298,48.4659622907478,Solar
4,226.10242080856293,6.279736750884451,27.677172147174,154.73586929585014,Solar
5,216.75621333481124,6.348616121337134,17.05416606470459,105.73717073576394,Solar
6,131.19890406724053,4.145394941959307,10.911765634070527,185.59381235740895,Wind
7,227.23898076850497,9.923893295191771,22.6961575048592,85.75028166827086,Solar
8,273.235229154987,5.267644651267861,7.7209637520490215,173.96247316278462,Wind
9,220.22300234864176,7.437577734666762,20.80529511138961,89.7910874956475,Solar
10,241.6145155592091,2.4534434573266832,1.1913362271674166,195.84965574039705,Hydro
11,104.11689885916049,2.277381633808531,25.182241128278157,191.96687627977536,Wind
12,293.98197043239884,5.135284503551272,13.445125410639555,65.82734111121607,Wind
13,222.05744125234008,8.854111253600184,19.10078743073825,177.18473408336064,Solar
14,142.46782213565524,3.5474827436518606,6.63713459420051,169.52227484312985,Wind
15,136.36499344142013,7.132035850050014,20.31221137975344,42.136079465512566,Wind
16,136.68090197068676,4.078625103522396,23.1672082767983,124.85808015665394,Wind
17,243.78496864712827,6.758934585455074,14.196395606531961,14.536463117962972,Solar
18,243.2707940894222,6.506912836637522,18.53180772185383,167.34214411669234,Solar
19,186.38900372842315,4.378297634250612,13.689777714671957,34.909176700699305,Wind
20,158.2458280396084,3.839950031705924,26.822741077735365,14.162940277152902,Wind
21,240.49382075192847,7.506819589867678,14.936075415429574,80.04381910776223,Solar
22,205.47989351675636,9.372671882600248,25.254261270864568,115.3844277199287,Solar
23,243.1593674184028,6.159769149298933,24.040561748107457,170.9833917119542,Solar
24,173.27236865873834,8.608517476386284,12.315144640450695,194.8485051043473,Wind
25,191.2139968434072,7.384737047289736,6.902534755724251,87.89850251397273,Wind
26,228.3475237819405,8.586597174221152,12.18246397679313,12.089384597054043,Solar
27,139.93475643167196,5.175937297659793,24.786521273256604,149.82311580517413,Wind
28,202.84688768272233,3.250535765670887,6.828976074581771,113.03465124478748,Wind
29,218.4829137724085,7.903607579180737,15.73309037573248,89.57826896889263,Solar
30,109.29008254399955,4.883796041132431,24.182902438822424,61.85377575843793,Wind
31,221.50897038028768,7.37016660183306,10.604324253851363,100.47970556870713,Solar
32,134.1048247374583,4.165151535854125,19.266289110080923,67.73592089140618,Wind
33,249.83632005288666,6.607016162315826,7.368947221464436,151.40237354947206,Solar
34,218.1308475792731,4.766697727443059,3.2783833610447974,108.77873929852822,Solar
35,214.07675200534473,4.320252965063565,23.83152675278569,175.36955483082238,Solar
36,261.6794696232922,9.907367951707847,2.9690587022612047,108.70878292988841,Hydro
37,210.1644777717978,4.557398286964716,8.141441852387537,47.65248266798601,Solar
38,213.38758327697707,7.4313938059622195,25.653282659923203,170.2183764464289,Solar
39,236.84660530243139,7.275383696655981,10.394078612360016,111.44380898600879,Solar
40,188.03049874792026,6.622456402008678,29.191360485424834,41.36820762871225,Wind
41,124.40764696895576,8.928812363022677,29.392030043215794,124.70156199124443,Wind
42,213.245359674891,4.458359900771834,8.048280613606702,71.54335298848551,Solar
43,106.87770422304368,5.741449699879016,1.2293466674967135,168.88112245841316,Hydro
44,227.83478354104267,5.487253433943705,21.151898526161375,90.65994772930857,Solar
45,249.53625276238026,8.540678841871225,13.529595079450312,145.28827162148335,Solar
46,232.5044568707964,5.419891632722144,3.0225853187872884,19.10724152724743,Solar
47,162.3422152178822,4.642277340016675,21.225684569341283,79.20486926046924,Wind
48,204.01360423556216,6.513854533476288,0.9352472733576367,196.64828729447973,Solar
49,209.34205586865593,8.804596224120928,26.105900714767262,161.69205789542966,Solar
50,136.9708911051054,3.6122270240505028,4.1595758733991115,31.98816047338573,Wind
